Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	-1	-1	4
1	50001	0.996215	1.02691	4
1	100001	0.991558	1.02691	4
1	150001	0.91285	1.02691	4
1	200001	-1	1.02691	4
1	250001	-1	1.02691	4
1	300001	-1	1.02691	4
1	350001	0.985955	1.02691	4
1	400001	0.965789	1.02691	4
1	450001	0.97207	1.02691	4
1	500001	-1	1.02691	4
1	550001	-1	1.02691	4
1	600001	1.02691	1.02691	4
1	650001	0.986186	1.02691	4
1	700001	1.08902	1.02691	4
1	750001	1.03434	1.02691	4
1	800001	0.966931	1.02691	4
1	850001	1.07363	1.02691	4
1	900001	1.03687	1.02691	4
1	950001	1.00365	1.02691	4
1	1000001	1.01595	1.02691	4
1	1050001	0.955131	1.02691	4
1	1100001	0.982245	1.02691	4
1	1150001	1.05192	1.02691	4
1	1200001	1.10224	1.02691	4
1	1250001	1.06325	1.02691	4
1	1300001	1.07643	1.02691	4
1	1350001	1.03937	1.02691	4
1	1400001	1.02886	1.02691	4
1	1450001	1.06229	1.02691	4
1	1500001	1.02538	1.02691	4
1	1550001	1.02737	1.02691	4
1	1600001	1.03784	1.02691	4
1	1650001	1.08436	1.02691	4
1	1700001	1.07907	1.02691	4
1	1750001	0.994315	1.02691	4
1	1800001	1.07464	1.02691	4
1	1850001	1.02239	1.02691	4
1	1900001	1.05241	1.02691	4
1	1950001	1.02677	1.02691	4
1	2000001	1.05678	1.02691	4
1	2050001	1.02675	1.02691	4
1	2100001	1.03961	1.02691	4
1	2150001	1.01961	1.02691	4
1	2200001	1.10155	1.02691	4
1	2250001	0.985677	1.02691	4
1	2300001	1.02676	1.02691	4
1	2350001	1.00964	1.02691	4
1	2400001	1.05013	1.02691	4
1	2450001	1.164	1.15996	5
1	2500001	1.14324	1.15996	5
1	2550001	1.18061	1.15996	5
1	2600001	1.15591	1.15996	5
1	2650001	1.18403	1.15996	5
1	2700001	-1	1.15996	5
1	2750001	1.10557	1.15996	5
1	2800001	1.01284	1.04879	4
1	2850001	1.12171	1.04879	4
1	2900001	1.12138	1.04879	4
1	2950001	1.02522	1.04879	4
1	3000001	1.07276	1.04879	4
1	3050001	1.05813	1.04879	4
